Constituency ID,Constituency_Name,Winning_Margin,Candidate - All India Trinamool Congress,Candidate - Bharatiya Janata Party,Candidate - Communist Party of India  (Marxist),Candidate - Indian National Congress,Candidate - Independent,Candidate - Rashtriya Secular Majlis Party,Candidate - None of the Above,Candidate - All India Forward Bloc,Candidate - Bahujan Samaj Party,Candidate - SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Candidate - Revolutionary Socialist Party,Candidate - Communist Party of India,Candidate - AJSU Party,Candidate - Bahujan Mukti Party,Candidate - Amra Bangalee,Candidate - Kamatapur People’s Party (United),Candidate - Communist Party of India  (Marxist-Leninist)  (Liberation),Candidate - Purvanchal Mahapanchayat,Candidate - All India Majlis-E-Ittehadul Muslimeen,Candidate - Janata Dal  (United),Candidate - Bharatiya Nyay-Adhikar Raksha Party,Candidate - Lok Jan Shakti Party,Candidate - Communist Party of India (Marxist-Leninist) Red Star,Candidate - Ambedkarite Party of India,Candidate - SOCIAL DEMOCRATIC PARTY OF INDIA,Candidate - Indian Unity Centre,Candidate - Party for Democratic Socialism,Candidate - Welfare Party Of India,Candidate - United Socialist Party,Candidate - Humanity Universal Motion Party,Candidate - Bahujan Maha Party,Candidate - National People's Party,"Candidate - Justice and Development Party,",Candidate - Republican Party of India (Athawale),Candidate - Bhartiya Tribal Party,Candidate - Mulnibasi Party of India,Candidate - Indian Union Muslim League,Candidate - Progressive People's Party,Candidate - West Bengal Socialist Party,Candidate - Republican Party of India (A),Candidate - Democratic Socialist Party of India,Candidate - Jan Sangh Party,Candidate - Socialist Party (India),Candidate - National Republic Party Of India,Candidate - Guru Chand Mukti Morcha,Candidate - Paradise Party,Candidate - Hindustani Awam Morcha (Secular),Candidate - Samajwadi Jan Parishad,Candidate - Bharateeya Manavadhikar party,Candidate - Rashtravadi Janata Party,Candidate - Akhil Bharat Hindu Mahasabha,Candidate - Right to Recall Party,Candidate - All India Minorities Front,Candidate - Lok Samya Party,Candidate - Sajag Samaj Party,Candidate - New Democratic Party of India,Candidate - Revolutionary Socialist Party of India(Marxist),Candidate - Jamat-E-Seratul Mustakim,Candidate - Bharatiya Momin Front,Candidate - Vikas India Party
46,Harischandrapur,77473,TAJMUL HOSSAIN,MD. MATIBUR RAHAMAN,,ALAM MOSTAQUE,MD OLIUR RAHAMAN,,NOTA,ALAM MD RAFIQUL,RAM BILAS MANDAL,MUSARAF HOSSAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Malatipur,91949,ABDUR RAHIM BOXI,MOUSUMI DAS,,ALBERUNI ZULKARNAIN,,,NOTA,,MD. KAMRUL HODA,,,,,GOLAM FARUQUE,,,,,MOTIUR RAHAMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Ratua,75650,Samar Mukherjee,Abishek Singhania,,Khatun Najema,Payel Khatun,,NOTA,,Chaitanya Rabidas,,,,,,,,,,,,,,,,,,,Arafat Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Manikchak,33878,SABITRI MITRA,GOUR CHANDRA MANDAL,,ALAM MOTTAKIN,ANIL CH. MANDAL,,NOTA,,CHANCHALA KARMAKAR,,,,,AMAL KUMAR RABIDAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Maldaha,15456,Ujjwal Kumar Chowdhury,Gopal Chandra Saha,,Bhupendra Nath Halder (Arjun),Sujit Kumar Moulik,,NOTA,,Mukul Sarkar,,,,,Santosh Kumar Sarkar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Englishbazar,20099,KRISHNENDU NARAYAN CHOUDHURY,SREERUPA MITRA CHAUDHURY(NIRBHOY DIDI),KOUSHIK MISRA(SAHEB),,MD. ANISUR RAHAMAN,,NOTA,,SURESH CHANDRA SARKAR,GAUTAM SARKAR,,,,FIROZ AKHTAR,,,,,,UMA DAS (PAUL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Mothabari,56573,YEASMIN SABINA,SHYAMCHAND GHOSH,,DULAL SK,SUBODH SARKAR,MD. ALI KALIMULLAH (NUR HOQUE),NOTA,,,,,,,,,MST AKTARI KHATUN,MD EBRAHIM,,,,,,,,,,,,,,,,,,,,MD FARUQUE HOSSAIN(SAHITYARATNA),,,,,,,,,,,,,,,,,,,,,,,
53,Sujapur,130163,Md Abdul Ghani,Sk Ziauddin,,Isha Khan Choudhury,Md. Rahim Biswas,Md. Nur Islam Sekh,NOTA,,Rafiqul Islam,,,,,,,,,,,,,,,,,,Nasmul Hoque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Md Monirul Hasan,,
54,Baisnabnagar,2471,CHANDANA SARKAR,SWADHIN KUMAR SARKAR,,AZIZUL HOQUE,HARENDRANATH SARKAR,,NOTA,,NIKHIL CHANDRA MANDAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Farakka,59945,MANIRUL ISLAM,GHOSH  HEMANTA,,MAINUL HAQUE,ANUP KUMAR SINHA,MD MERAJ SORIF,NOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Samserganj,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Suti,70701,EMANI BISWAS,KOUSHIK DAS,,HUMAYUN REZA,MAIDUL ISLAM,,NOTA,,,ANUP SINGHA,,,,,,,,,,,,,,,,,,MAHFUJUR  RAHAMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Jangipur,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,RaghunathGanj,98313,Akhruzzaman,Golam Modaswer,,Abul Kashem Biswas,Nasir Saikh,,NOTA,,,Rabiul Alam,,,,,,,,,,,,,,,Md. Jakir Hossain,,,M A Hannan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Sagardighi,50206,SUBRATA SAHA,KHATUN MAFUJA,,SK M HASANUZZAMAN (BAPPA),SANTA BHATTACHERJEE,,NOTA,,DHANANJAY BANERJEE,MIRZA LUTFUL HOQUE,,,,SUPAL MURMU,,,,,NURE MAHABOOB ALAM,,,,,,ABDUT TAWAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Lalgola,60707,ALI MOHAMMAD,KALPANA GHOSH,,ABU HENA,ABHIJIT  HALDAR,,NOTA,,BHARAT CHANDRA BISWAS,MUNTASIR ZAMIL,,,,,,,,,,,,KAKALI DEBNATH,,,NAJIMA KAYAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Bhagabangola,106008,IDRIS ALI,Mehebub Alam,MD. KAMAL HOSSAIN,,MD. MOSARAF HOSSAIN,,NOTA,,SEIKH RABIUL ALAM,ABDUL MABUD NAYAN,,,,,,,,,,,,,,,,,,,ALI HOSSAIN,,MST. SIKHA KHATUN,,,,,,REJAUL KARIM SK,,,,,,,,,,,,,,,,,,,,,,,
63,Raninagar,79702,ABDUL SOUMIK HOSSAIN,MST MASUARA KHATUN,,FIROZA BEGAM,FIROZA BIBI,GOLAM MASUM REJA,NOTA,,RULIYA PARVIN,NASRIN NAHER LUCY,,,,,,,,,,,,,,,MD SAHER ALAM,,,,SAIRA BIBI,,ABDUL HAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Murshidabad,2491,SHAONI SINGHA ROY,GOURI SANKAR GHOSH,,NEAJUDDIN SK,BELLAL SK,HABIB SAIKH,NOTA,,MADAN MOHAN MANDAL,MILIA SAJEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUJAT SK,,,,,,,,,,,,,,,,,,,
65,Nabagram,35533,KANAI CHANDRA MONDAL,MOHAN HALDER,KRIPALINI GHOSH,,,,NOTA,,,BARUN MANDAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Khargram,32573,ASHIS MARJIT,ADITYA MOULIK,,BIPAD TARAN BAGDI,,,NOTA,,,,,,,,,,TULU BALA DAS,,,MANIK KUMAR DAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Burwan,2749,JIBAN KRISHNA SAHA,AMIYA KUMAR DAS,,SHILADITYA HALDAR,NARESH KUMAR DAS,,NOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Kandi,38080,APURBA SARKAR (DAVID),GOUTAM ROY,,SHAFIUL ALAM KHAN (BONU),SYED AZIZUR HOSSAIN(NASHIM),,NOTA,,,SUKHEN HALDAR,,,,,,,,,,,,,,,,,,,,,,,SHER ALAM,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Bharatpur,43083,HUMAYUN KABIR,IMAN KALYAN MUKHERJEE,,KAMALESH CHATTERJEE (GOPAL),BASUDEB SAHA,,NOTA,,SHYAMAPADA GHOSH,,,,,,BADAN GHOSH,,,,SAJJAD HOSSAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Rejinagar,68268,RABIUL ALAM CHOWDHURY,ARABINDA BISWAS,,KAFIRUDDIN SK,,,NOTA,,,Md. Babar Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,MUJIBUR RAHAMAN,,,,,,,,,,HASANUR ZAMAN SK,,,,,,,,,,,,,
71,Beldanga,53832,HASANUZZAMAN SK,SUMIT GHOSH,,SAFIUJJAMAN SEIKH,KAJAL GHOSH BISWAS,,NOTA,,,SARIFUL ISLAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MD: SAGIR HOSSAIN,,,,,,,,,,,,,,,,,,,
72,Baharampur,26852,Naru Gopal Mukherjee,Subrata Maitra (Kanchan),,Manoj Chakraborty,Sujit Kumar Das,,NOTA,,Sajal Sen,Goutam Ghosh (Dwarak Ghosh),,,,Rekha Roy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Hariharpara,14066,NIAMOT SHEIKH,TANMOY BISWAS,,MIR ALAMGIR (PALASH),RAFIKUL ISLAM,,NOTA,,,GOLAM AMBIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Naoda,74153,SAHINA MOMTAZ KHAN,ANUPAM MANDAL,,MOSARAF HOSSAIN MONDAL (MADHU),SAMIK MANDAL,,NOTA,,,SAHIDUL ISLAM (KALU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MD. WASIM AKRAM,,,,,,,,,,,,,
75,Domkal,47229,JAFIKUL ISLAM,BIYAMMA MONDAL (RUBIA),MD. MOSTAFIJUR RAHAMAN (RANA),,IMAN ALI BISWAS,,NOTA,,,SAMSUZZAMAN(KAJAL),,,,,,,,,,,,,,,,,,,,,,,AMIR SOHAIL,,,,HIKMAT ALI,,,,,,,,,,,,,,,,,,,,,,,
76,Jalangi,79276,ABDUR RAZZAK,CHANDAN MANDAL,SAIFUL ISLAM MOLLA,,RAFIKA SULTANA,,NOTA,,,ENAMUL HAQUE,,,,MD. ABDUL HAMID,SUBIR KUMAR SARKAR,,,,ALSOKUAT JAMAN,,,,,,,,,,,,,,SARIFUL MANDAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Karimpur,23575,Bimalendu Sinha Roy,Samarendranath Ghosh,Prabhas Majumdar,,Premananda Mandal,,NOTA,,Jitendranath Halder,Dhanapati Mondal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Tehatta,6915,Tapas Kumar Saha,Ashutosh Paul,Subodh Chandra Biswas,,Rabindranath Halder,,NOTA,,Tarak Nath Biswas,,,,,,,,,Surya Biswas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Palashipara,51336,Dr. Manik Bhattacharya,Bibhash Chandra Mandal,S.M. Sadi,,Ramesh Barman,,NOTA,,Ratikanta Thakur,Maniruzzaman Mondal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Kaliganj,46987,NASIRUDDIN AHAMED (LAL),ABHIJIT GHOSH,,ABUL KASHEM,ABHIJIT GHOSH,,NOTA,,SUJATA MANDAL,MOHIUDDIN MONDAL,,,,,,,,,,,JAYANTA DAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Nakashipara,21271,Kallol Khan,Santanu Dey,Sukla Saha,,Tanmay Ganguli,,NOTA,,Amal Chandra Sarkar,Krishnachandra Debnath,,,,,Swapan Mondal,,Krishnapada Pramanik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Chapra,12118,RUKBANUR RAHMAN,KALYAN KUMAR NANDI,JAHANGIR BISWAS (RAJU),,JEBER SEKH,KANCHAN MAITRA,NOTA,,ROKIBUL HOSSAIN MOLLA,MOZAMMEL HOSSAIN MONDAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Krishnanagar Uttar,35089,KOUSHANI MUKHERJEE,MUKUL ROY,,SILVI SAHA,SADHAN KUMAR MANDAL,,NOTA,,ASHOKE CHANDRA DAS,JOYDIP CHAUDHURI,,,,,,,,DIPIKA PRAMANIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Nabadwip,18571,PUNDARIKAKSHYA SAHA,SIDHARTHA SHANKAR NASKAR,SWARNENDU SINHA,,SOUMEN SAHA,,NOTA,,RAJNATH SARKAR,,,,,,,,,,,,,RAMKRISHNA HALDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Krishnanagar Dakshin,9305,UJJAL BISWAS,MAHADEV SARKAR,BISWAS SUMIT,,ANANDA MODAK,,NOTA,,SWAPAN KUMAR SARKAR,,,,,,,,SANTU BHATTACHARYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Santipur,15878,AJOY DEY,JAGANNATH SARKAR,,RITZU GHOSAL,,,NOTA,,PROFULLA KUMAR ROY,NADIA CHAND BISWAS,,,,,,,,SUKDEB BISWAS,,,,,,,,,,,,,,,,,,,,,,,,SUFAL SARKAR,,,,,,,,,,,,,,,,,,
87,Ranaghat Uttar Paschim,23128,SANKAR SINGHA,PARTHASARATHI CHATTERJEE,,BIJAYENDU BISWAS (HABU),RATAN MALAKAR,,NOTA,,AMAL SARKAR,APARNA GUHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOURAV CHAKRABORTY,,,,,,,,,,,,,,,,,
88,Krishnaganj,21277,DR. TAPAS MANDAL,ASHIS KUMAR BISWAS,JHUNU BAIDYA,,ASHIS BISWAS,,NOTA,,DIPALI BISWAS,ASIT BARAN BISWAS,,,,,,,,SANAND ADHIKARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANUP KUMAR MONDAL,,,,
89,Ranaghat Uttar Purba,31782,SAMIR KUMAR PODDAR,ASHIM BISWAS,,,APURBA LAL ROY,DINESH CHANDRA BISWAS,NOTA,,SANJIT KUMAR MANDAL,,,,,SAMIR KUMAR BISWAS,,,,SWADHIN BISWAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Ranaghat Dakshin,16515,BARNALI DEY ROY,MUKUT MANI ADHIKARI,RAMA BISWAS,,,,NOTA,,PRASANTA BISWAS,NANIGOPAL MISTRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Chakdaha,11680,Subhankar Singha (Jishu),Bankim Chandra Ghosh,Narayan Das Gupta,,Tapan Biswas,,NOTA,,Arun Majumdar,,,,,,,,,,,,Bidhan Ghosh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Kalyani,2206,ANIRUDDHA BISWAS,AMBIKA ROY,SABUJ DAS,,AMIT KUMAR DAS,,NOTA,,GOUTAM MALO,,,,,,,,,,,,,,,,,,SANGRAM BISWAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Haringhata,15200,NILIMA NAG (MALLICK),ASIM KUMAR SARKAR,ALAKESH DAS,,NAYAN HALDER,,NOTA,,SAMIR BISWAS,Biplab Chandra Das,,,,,,,,HARISH CHANDRA BISWAS,,,,,,,,,MADHAB BISWAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Bagda,9792,Paritosh Kumar Saha,Biswajit Das,,Kirttaniya Prabir (Bapi),Pradip Kumar Biswas,,NOTA,,Santosh  Biswas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Bangaon Uttar,10488,SHYAMAL ROY,ASHOK KIRTANIA,PIJUSH KANTI SAHA,,DINESH DAS,,NOTA,,SUNITI MALLICK,SHYAMSUNDAR HALDAR,,,,SUBRATA BISWAS,ARPITA MONDAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Bangaon Dakshin,2004,ALO RANI SARKAR,SWAPAN MAJUMDER,TAPAS KUMAR BISWAS,,ALOKE BAIN,,NOTA,,PRADIP KUMAR SARKAR,RABINDRA NATH BARAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Gaighata,9578,NAROTTAM BISWAS,SUBRATA THAKUR,,,DR. SAJAL BISWAS,,NOTA,,BEAUTY SARKAR,NANIBALA BISWAS (DAS),,KAPIL KRISHNA THAKUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Swarupnagar,34800,BINA MONDAL,BRINDABAN SARKAR,BISWAJIT MANDAL,,MRINMOY MONDAL,,NOTA,,,DEBABRATA BISWAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Baduria,56444,ABDUR RAHIM QUAZI,SUKALYAN BAIDYA,,ABDUS SATTAR,SAFIKUL ISLAM DAFADAR,,NOTA,,GOPAL DAS,NITAI KRISHNA PAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Habra,3841,JYOTI PRIYA MALLICK,BISWAJIT SINHA,RIJINANDAN BISWAS,,AMAR KRISHNA MANDAL,,NOTA,,SANTOSH BISWAS,PROBODH KUMAR SARKAR,,,,,,,,KISHOR BISWAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Ashoknagar,23532,NARAYAN GOSWAMI,TANUJA CHAKRABORTY,,,TANUJA CHAKRABORTY,TAPAS BANERJEE,NOTA,,JAGADISH RAY,TARAK RAJAK DAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANGSHUMALI BARAI,,,,,,,,,,,,,,,
102,Amdanga,25480,RAFIQUR RAHAMAN,JOYDEV MANNA,,,RANJIT SANTRA,JAMAL UDDIN,NOTA,,SHAFIQUE ALI,GOUTAM BISWAS,,,,,,,,,,,,HARI PADA BISWAS,,,,,,,SAHAJAN ALI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Bijpur,13347,SUBODH ADHIKARY,SUBHRANSHU ROY,SUKANTA RAKSHIT (BABIN),,SUDHANSU SAHA,,NOTA,,ARJUN KRISHNA BARAI,KALIPADA DEBNATH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Naihati,18855,PARTHA BHOWMICK,PHALGUNI PATRA,INDRANI KUNDU MUKHERJEE,,KANAI DAS,,NOTA,,PABITRA ROY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Bhatpara,13687,JITENDRA SHAW (JITU),PAWAN KUMAR SINGH,,DHARMENDRA SHAW,VINOD KISHOR VERMA,,NOTA,,AJAY KUMAR RAM,PARTHA BHATTACHARYYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Jagatdal,18364,SOMENATH SHYAM ICHINI,ARINDAM BHATTACHARYA,,,SUVAMAY PAN,,NOTA,NEMAI SAHA,KRISHNA CHANDRA SARKAR,RATANMOHAN LASKAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRAHMDEO GUPTA,,,
107,Noapara,26710,MANJU BASU,SUNIL SINGH,,SUBHANKAR SARKAR,RABISHANKAR PAUL,,NOTA,,RAJENDRA CHOUDHARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RANJIT BISWAS,,,,,,,,,,,,,,,
108,Barrackpur,9222,RAJU CHAKRABORTY (RAJ),CHANDRAMANI SHUKLA,DEBASISH BHOWMICK,,KUMAR BISHAL YADAB,,NOTA,,TAPASH SARKAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Khardaha,28140,KAJAL SINHA,SILBHADRA DATTA,DEBAJYOTI DAS (SUBHO),,BISWAJIT DAS,,NOTA,,SAMAR DAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Dum Dum Uttar,28499,CHANDRIMA BHATTACHARYA,DR. ARCHANA MAJUMDAR,TANMOY BHATTACHARYA,,,,NOTA,,SOVA HOWLADER,,,,,,,,,,,,SUNIL SINGH,,,,,,,,,,,,,,,,,,,,SANTANU MANDAL,,,,,,,,,,,,,,,,,,,
111,Panihati,25177,NIRMAL GHOSH,SANMOY BANDYOPADHYAY,,TAPAS MAJUMDER,IMRAN KHAN,,NOTA,,BHASKAR ROY,MANISHA DASGUPTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Kamarhati,35408,MADAN MITRA,Anindya Banerjee,Sayandeep Mitra,,Satya Brata Bandyopadhyay,,NOTA,,,,,,,,,,,,,,,,,,,,BIDISHA ROYCHOWDHURY,,,,,,,,,,,,,,,Rajesh Sah,,,,,,,,,,,,,,,,,,
113,Baranagar,35147,TAPAS ROY,PARNO MITTRA,,AMAL KUMAR MUKHOPADHYAY,SUBRATA DE,,NOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SURAJIT GHOSH,,,,,,,,,,,,,,,,
114,Dum Dum,26731,BRTYA BASU,BIMALSHANKAR NANDA,PALASH DAS,,RUPA SARKAR,,NOTA,,SUBRATA KR. MAJUMDER,,,,,,,,,,,,RANA PAL CHOUDHURY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Rajarhat New Town,56432,TAPASH CHATTERJEE,BHASKAR ROY  S/O - DULAL ROY,SAPTARSHI DEB,,SUBHENDU GHOSH,,NOTA,,BHASKAR ROY S/O - KRISHNA KANTA ROY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Bidhannagar,7997,SUJIT BOSE S/O - LATE AJIT BOSE,SABYA SACHI DUTTA S/O - LATE GOURI SANKAR DUTTA,,ABHISEK BANERJEE,SAMIR SARDAR,,NOTA,,SMRITI KANA HOWLADER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Rajarhat  Gopalpur,25296,ADITI MUNSHI,SAMIK BHATTACHARYA,SUBHAJIT DASGUPTA,,LALU NEYE,,NOTA,,,JAGANMOY KARMAKAR,,,,,,,,,,,RINA DEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Madhyamgram,48126,RATHIN GHOSH,RAJASREE RAJBANSHI,,,SAIFUDDIN MONDAL,BISWAJIT MAITY,NOTA,,HIMANGSHU MONDAL,BIPLAB DUTTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Barasat,23783,CHIRANJEET CHAKRABARTI,SANKAR CHATTERJEE,,,TARUN DHAR,,NOTA,SANJIB CHATTOPADHYAY,SUNIL CHANDRA ROY,KSHAMA DEBNATH (PANDA),,,,,MOHAN LAL ADHIKARI,,,,,,,,,,,,,,,,,,,,,,,,,,,SUDARSHAN DAS,,,,,,,,,,,,,,,,,,
120,Deganga,32537,RAHIMA MONDAL,DIPIKA CHATTARJEE,,,,KARIM ALI,NOTA,MD. HASANOOR JAMAN CHOWDHURY,SATTAR ALI,AJOY SADHUKHAN,,,,,,,,,,,,,,,,,,MD. RAFIKUL ISLAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Haroa,80978,ISLAM SK NURUL (HAJI),RAJENDRA SAHA (SOMU),,,MD KUTUBUDDIN,KUTUBUDDIN FATHE,NOTA,,,,,,,,,,,,,,,,,,,,,,AKHER ALI MOLLA,,,,ABUL KALAM,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Minakhan,55830,USHA RANI MONDAL,JAYANTA MONDAL,PRADYUT ROY,,,,NOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Sandeshkhali,39685,SUKUMAR MAHATA,DR. BHASKAR SARDAR,,,HARISH CHANDRA SARDAR,BARUN MAHATO,NOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Basirhat Dakshin,24468,DR. SAPTARSHI BANERJEE,TARAK NATH GHOSH,,AMIT MAJUMDAR,,,NOTA,,DEBASHIS SARKAR,AJAY KUMAR BAIN,,,,,,,,,,,,,,,,,,,,,,,AKTAR RASUL BACHHU,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Basirhat Uttar,89351,RAFIKUL ISLAM MONDAL,NARAYAN CHANDRA MONDAL,,,TASLIMA KHATUN,MD BAIJID AMIN,NOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Hingalganj,24916,DEBES MANDAL,NEMAI DAS,,,KRISHNA GAYEN,,NOTA,,NIRMAL MUDI,,,RANJAN KUMAR MONDAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SANJIT MONDAL,,,,,,,,,,,,,,,,,,
127,Gosaba,23709,JAYANTA NASKAR,BARUN PRAMANIK (CHITTA),,,,,NOTA,,HARIPADA MANDAL,TAPAN MISTRI,ANIL CHANDRA MONDAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Basanti,50642,SHYAMAL MONDAL,RAMESH MAJHI,,,BISWAJIT MONDAL,,NOTA,,,NIMAI CHANDRA MONDAL,SUBHAS NASKAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Kultali,47177,Ganesh Chandra Mondal,Mintu Halder,Ram Sankar Halder,,Ratan Kumar Naskar,,NOTA,,KANAN BALA MONDAL,JAYKRISHNA HALDAR,,,,Kartick Mondal,,,,,,,,Bablu Sanfui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Patharpratima,22134,SAMIR KUMAR JANA,ASIT KUMAR HALDAR,,SHUKDEB BERA,,,NOTA,,,NARAYAN HALDAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRIDHAR CHANDRA BAGARI,,,,,,
