Constituency ID,Constituency_Name,Winning_Margin,Candidate - Dravida Munnetra Kazhagam,Candidate - All India Anna Dravida Munnetra Kazhagam,Candidate - Naam Tamilar Katchi,Candidate - Indian National Congress,Candidate - Pattali Makkal Katchi,Candidate - Bharatiya Janata Party,Candidate - Makkal Needhi Maiam,Candidate - Amma Makkal Munnettra Kazagam,Candidate - Independent,Candidate - Communist Party of India,Candidate - Viduthalai Chiruthaigal Katchi,Candidate - Communist Party of India  (Marxist),Candidate - None of the Above,Candidate - Indian Union Muslim League,Candidate - Desiya Murpokku Dravida Kazhagam,Candidate - Bahujan Samaj Party,Candidate - Puthiya Tamilagam,Candidate - Indiya Jananayaka Katchi,Candidate - SOCIAL DEMOCRATIC PARTY OF INDIA,Candidate - Tamil Nadu Ilangyar Katchi,Candidate - My India Party,Candidate - Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,Candidate - Anaithu Makkal Puratchi Katchi,Candidate - Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,Candidate - All India Samathuva Makhal Katchi,Candidate - New Generation People’s Party,Candidate - Communist Party of India  (Marxist-Leninist)  (Liberation),Candidate - Anna Dravidar Kazhagam,Candidate - Desiya Makkal Sakthi Katchi,Candidate - Naam Indiar Party,Candidate - Dhesiya Makkal Kazhagam,Candidate - Nationalist Congress Party,Candidate - Anaithu Makkal Arasiyal Katchi,Candidate - Ganasangam Party of India,Candidate - Anna MGR Dravida Makkal Kalgam,Candidate - All India Majlis-E-Ittehadul Muslimeen,Candidate - Ahimsa Socialist Party,Candidate - Tamilaga Makkal Thannurimai Katchi,Candidate - Republican Party of India (Athawale),Candidate - All India Jananayaka Makkal Kazhagam,Candidate - Tipu Sultan Party,Candidate - United States of India Party,Candidate - Samaniya Makkal Nala Katchi,Candidate - Akhil Bharat Hindu Mahasabha,Candidate - Naadaalum Makkal Katchi,Candidate - All India Uzhavargal Uzhaippalargal Katchi,Candidate - Bahujan Dravida Party,Candidate - Namadhu Makkal Katchi,Candidate - Makkal Munnetra Peravai,Candidate - Desiya Sirupanmayinar Makkal Iyakkam,Candidate - Shiv Sena,Candidate - Ambedkarite Party of India,Candidate - Janata Dal  (Secular),Candidate - National People's Party,Candidate - National Democratic Party of South India,Candidate - Lok Jan Shakti Party,Candidate - All India Trinamool Congress,Candidate - India Dravida Makkal Munnetra Katchi,Candidate - Kongu  Desa  Marumalarchi  Makkal  Katchi,Candidate - SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Candidate - Tamizhaga Murpokku Makkal Katchi,Candidate - All India MGR Makkal Munnetra Kazhagam,Candidate - Aanaithinthiya Jananayaka Pathukappu Kazhagam,Candidate - Manitha Urimaigal Kalaagam,Candidate - Makkal Nala Kazhagam,Candidate - MGR Makkal Katchi,Candidate - Anaithu Ulaga Tamilargal Munnetra Kalagam,Candidate - All Pensioner’s Party,Candidate - Rashtriya Janata Dal,Candidate - Namathu Kongu Munnetra Kalagam,Candidate - South India Forward Bloc,Candidate - Akila India Vallalar Peravai,Candidate - Nam India Naam Indiyar Katchi,Candidate - Rashtriya Samaj Paksha,Candidate - All  India  Pattali  Munnetra Katchi,Candidate - People's Party of India(secular),"Candidate - Makkal Sananayaga Kudiyarasu Katchi,",Candidate - Samata Party,Candidate - All India Youth Development Party,Candidate - Ezhuchi Tamilargal Munnetra Kazhagam,Candidate - Valamaana  Tamizhagam   Katchi,Candidate - Makkalatchi Katchi,Candidate - Ulaga Makkal Katchi,Candidate - Anaithu Makkal Munnetra Kazhagam,Candidate - Desa Makkal Munnetrak Kazhgam,Candidate - Dravida Murpokku Makkal Katchi,Candidate - Ambedkar Political Party,Candidate - Tamil Telugu National Party,Candidate - Akhila India Jananayaka Makkal Katchi (Dr. Isaac),Candidate - Samajwadi Party,Candidate - Tamilnadu Mahatma Gandhi Makkal Katchi,Candidate - Anna MGR Dravida Munnetra Kazhagam,Candidate - Ilantamilar Munnani Kazhagam,Candidate - Tamilnadu Makkal Nalvazhvu Periyakkam,Candidate - Thamizhaga Munnetra Congress,Candidate - Jebamani Janata,Candidate - Anaithindia Samudaya Munnetra Kazhagam,Candidate - MAKKAL SAKTHI KATCHI,Candidate - Indhia Kudiarasu Katchi,Candidate - Vidial Valarchi Perani,Candidate - Makkal Nalvaazhvuk Katchi,"Candidate - Makkal Thilagam Munnetra Kazhagam,",Candidate - Universal Brotherhood Movement,Candidate - Rashtriya Ulama Council,Candidate - Hindustan Janta Party,Candidate - Kamarajar Deseeya Congress,Candidate - Bhartiya Manavadhikaar Federal Party,Candidate - Republican Party of India  (Sivaraj),Candidate - Mahathma Makkal Munnetra Kazhakam
42,Arcot,19958,J.L.Eswarappan,,R.Kathiravan,,Elavazagan.K.L,,A.R.Mohamed Raffi,N.Janarthanan,K.Manigandan,,,,NOTA,,,A.C.Kesavan,,,,,,,,,,,,,,,,,,,,,,,,,H.Mohamed Ghouse,,,,,,,,,,,,,,Munivel.S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Vellore,9181,Karthikeyan .P,Appu S.R.K,Poonkundran .N,,,,Vikram Chakravarthy .G,Dharmalingam .V.D,Vishnumohan .E,,,,NOTA,,,,,,,Naresh Kumar .R,,Senthilkumar .P,,,,,,,,,,,,,,,,,,,Syed Jalaluddin .M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manogaran S,,,
44,Anaikattu,6360,A.P.Nandakumar,D.Velazhagan,A.Sumithra,,,,,V.D.Sathish Kumar,M.Senthil Kumar,,,,NOTA,,,,,K.Rajasekar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Kilvaithinankuppam,10582,K Seetharaman,M.JAGAN MOORTHY,J.Divya Rani,,,,,,S SELVA CHENGUTTUVAN,,,,NOTA,,DHANASEELAN,PUSHPALATHA D,,K VENKATASAMY,,,,,,,,,,,,,,,,,,,,,K ELAVARASAN,,,,,,,,,,,,,,,,K SATHU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Gudiyattam,6901,Amulu.V,Paritha.G,Kalaiyenthiri.R,,,,,Jayanthi Padmanaban.C,Jaikarthikeyan.K,,,,NOTA,,,Raja.S,,Rajan.C,,,,,,,,,,,,,,,,,,,,,Vennila.R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selvavinayagam.D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Vaniyambadi,4904,,G.SENDHIL KUMAR,A.J.DEVENDHIRAN,,,,M.GNANA DOSS,,M.SURESH,,,,NOTA,N.MOHAMMED NAYEEM,,D.Ramu,,,,,,,,,,,,,,,,,,,,T.S.VAKEEL AHMED,,,,,,,,B.JAGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R.Sekar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Ambur,20232,VILWANATHAN.A.C,NAZAR MOHAMED.K,MAHARUNNISHA,,,,RAJA.S,,RAJINIKANTH.P,,,,NOTA,,,WAZEER AHMED.J,,,UMAR FAROOK.ASA,,,,ASHOK KUMAR.C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANI.S.P,,,,,,,,,,,PARTHIBAN.V,,,,,,,,,,,,,,,,,,,,,,,,,KAREEM BASHA.A,,,,,
49,Jolarpet,1091,DEVARAJI.K.,VEERAMANI.K.C.,SIVA.A.,,,,,THENNARASU SAAMRAJ,KARUNANIDHI.R.,,,,NOTA,,,SIVAKUMAR.V.C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KALASTHRI.S.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Tirupattur,28240,A. NALLATHAMBI,,M. SUMATHI,,T.K. RAJA,,,A. GNANASEKAR,B. VIJAYAKUMAR,,,,NOTA,,,,,,,,,,A. JEYAMMA,,,,,,,,,,,,,,,,,,,,I. ROSELIN JEEVA,,,S. KALASHTHRI,,,,,,,,,,,,,,,,,,,S. SATHIYAMOORTHY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Uthangarai,28387,,T.M.TAMILSELVAM,Elangovan,S.Arumugam,,,K.Murugesan,,C.Jayaraman,,,,NOTA,,R.Bakyaraj,NAGARAJ,,,,,,,,S.Perumal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Bargur,12614,MATHIAZHAGAN D,KRISHNAN A,KARUNAKARAN K,,,,,GANESA KUMAR S,MANJUNATHAN M,,,,NOTA,,,MURALI M,,ARUN GOWTHAM R,,,,AANDI A,,VASANTHARAJ P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIRMALA A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Krishnagiri,794,SENGUTTUVAN.T,Ashokkumar.K,NIRANDARI.V,,,,RAVISHANKAR.R.K,,SAKTHI.K,,,,NOTA,,,TAMILSELVAN.S,,,,,,VIJAYAKUMAR.R,,SASIKUMAR.K.S,,,,,RUTHRAMANI.T,,,CHANDRAMOHAN.K.M,,,,AMEENULLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Veppanahalli,3054,P.Murugan,K.P.Munusamy,M.Sakthivel,,,,P.Jayapal,,Abdul Azeez Amanullah,,,,NOTA,,S.M.Murugesan,,M.Mariyappan,,,S.Thangapandiyan,,,,Valli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Hosur,12367,PRAKAASH Y,JYOTHI S,GEETHA LAKSHMI S,,,,MASOOD S,MAREGOWDU M,RAMASWAMY G C,,,,NOTA,,,,,,,,,EZHILAN S,,JAYASEELAN G,,SELVAM G,,,,,,,,,,,,,,,,,,,,,,,,,SUNDAR L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Thalli,56226,,,MARY SELVARANI.R,,,Dr.NAGESH KUMAR.C,,SEKAR.M.V,VASANTHAMMA.N,RAMACHANDRAN.T,,,NOTA,,,,,ASHOK KUMAR.V,,,,JANAKI.G,,,,USHA.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAVI.G,,,,,,,,,,,,,,,,,,,
57,Palacode,28100,MURUGAN.P.K.,ANBALAGAN.K.P.,KALAISELVI.G.,,,,RAJASEKAR.D.,,VADIVEL.M.,,,,NOTA,,VIJAYASANKAR.P.,HARI.R.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Pennagaram,21186,INBASEKARAN. P.N.P,,TAMILAZHAGAN. R,,MANI. G.K,,SHAKILA. K,,PERIYANANJAPPAN. A,,,,NOTA,,UTHAYAKUMAR. R,MOORTHI. S,,,,,,,,,,,,,ANNADURAI. C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Dharmapuri,26860,SUBRAMANI.P,,SENTHIL KUMAR (A) SENTHIL.A.,,VENKATESHWARAN.S.P.,,JAYAVENKATESAN.S.K.,RAJENDRAN.D.K.,NATARAJAN.V.,,,,NOTA,,,PERUMAL.P,,,,,RAMASAMY.T.,,,NATARAJAN.M.,,,,,SAKTHIVEL.P.,,MANI.L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Pappireddipatti,36943,PRABHURAJASEKAR.M,GOVINDASAMY.A,RAMESH.R,,,,SRINIVASAN,PALANIAPPAN.P,GOVINDASAMY.R,,,,NOTA,,,GOPI.K,,,,,,,MURUGAN.R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Harur,30362,,SAMPATHKUMAR.V,KEERTHANA.K,,,,,MURUGAN.R,MURUGAN.R,,,KUMAR.A,NOTA,,,SIVAKUMAR.A,,SATHISKUMAR.S,,,KARUTHOVIYAM.P,,,,,,,,,,CHINNASAMY.K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Chengam,11570,GIRI.M.P,NAINAKANNU.M.S,VENNILA.S,,,,,,VIJAYACHANDRAN.G,,,,NOTA,,ANBU.S,SHANMUGAM.G,,SUGANRAJ.S,,,,,,,,BASKAR.S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Tiruvannamalai,94673,E V VELU,,J KAMALAKKANNAN,,,S THANIGAIVEL,ARUL R,A G PANCHATCHARAM,J JAMEEL BASHA,,,,NOTA,,,KOTHANDAPANI,,,,,,S K SELVAM,,,,R CHANDRAKANTH PILLAI,,,,,,,,,,,,,,,,,,,J AGNI SELVARASU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Kilpennathur,26787,K.Pitchandi,,Dr.R.Rameshbabu,,K.Selvakumar,,V.Suganantham,P.Kathikeyan,M.Murugan,,,,NOTA,,,SubashChandrabose,,,,,,A.R.Elumalai,,,,,,,,,,,Farmer Jayaraman,,,,,,A.Venkatesan,,,,,,,,,,N.Thangaraj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Kalasapakkam,9222,Saravanan.P.S.T,Panneerselvam.V,Balaji.E,,,,,,Tirunavukarasu.M,,,,NOTA,,Nehru.M,Rajkumar.E,,Rajendran.M.S,,,,Kalyanasundaram.A,,,,,,Sampath.R.V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Polur,9725,SEKARAN. K.V,Agri KRISHNAMURTHY. S S,LAVANYA. L,,,,KALAVATHI. G,VIJAYAKUMAR. C,DAKSNAMOORTHY. R,,,,NOTA,,,Ezhilarasu. M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Arani,3128,S.S.ANBALAGAN,S.RAMACHANDRAN,D.PRAKALATHA,,,,V.MANIGANDAN,,N.KARTHIKEYAN,,,,NOTA,,G.BASKARAN,K.ANBU,,,,,,S.THANIGAIVEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Cheyyar,12271,JOTHI. O,DUSI. K. MOHAN,BHEEMAN. G,,,,MAYILVAGANAN. T,VARADHARAJAN. M. K,SURESH BABU. T,,,,NOTA,,,VIJAYAKANTH. S,,,,,,KUTTIMANI. S,,,,NADARAJAN. B,,,,,,,,MANIKANDAN. M,,,,,,,,,,,,,,,,MARYVOILET. J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VENKATESAN .V,,,,,,,,,,,,
69,Vandavasi,35953,Ambethkumar S,,Prabavathi G,,Murali S,,Suresh S,Venkatesan P,Manikandan K,,,,NOTA,,,Arjunan M,,,,,,,,,,,,,,,,,,Durai B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Gingee,35803,MASTHAN K S,,SUGUMAR AP,,RAJENDIRAN P,,SRIPATHI P,GOWTHAM SAGAR A,GOPI S,,,,NOTA,,,JAGAJANANDAM  R,,,,,,,,,,,,ELUMALAI N A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Mailam,2230,Dr. MASILAMANI R,,UMAMAHESWARI L,,SIVAKUMAR C,,,,MASILAMANI V,,,,NOTA,,SUNDARESAN A,DURAI M,,,,,,,,,,,,,,,,,,,MANAVALAN A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Tindivanam,9753,SEETHAPATHY P,ARJUNAN P,PACHIMUTHU P,,,,POYATHU @ ANBIN POYYAMOZHI S,,THAMBIRAJ A,,,,NOTA,,CHANDRALEKHA K,GOVINDASAMY A,,,,,,,,,,,,ILAVARASAN K,,,,,,,,,,,,,,,,,,,,,,SETTU M,,,,,,,,,,,,,,,,,,,,,,,,,VISWANATHAN S A,,,,,,,,,,,,,,,,,,,,,,,MOHAN A,,,,,,,,,,,
73,Vanur,21727,,CHAKRAPANI M,LATCHOUMY M,,,,SANDOSHKUMAR M,,SAKTHIVEL S,,VANNI ARASU,,NOTA,,GANAPATHI P M,VINAYAGAMURTHY M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Villupuram,14868,LAKSHMANAN R,SHANMUGAM C Ve,SELVAM J,,,,DASS K,BALASUNDARAM R,SHANMUGAM A,,,,NOTA,,,SIVABALAN N,,,,,,DEVANATHAN N,,,,,,MOHAMED IBRAIM A,,,,,,,,,,,,,,,,,,,,,DURAISAMY D,VICTOR A S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Vikravandi,9573,PUGAZHENTHI N,MUTHAMILSELVAN R,SHEEBA ASHMI R,,,,,IYYANAR R,RAGHUPATHY P,,,,NOTA,,,ARUMUGAM C,,SENTHIL R,,,,,,,,,,,,,,,,,,,,,,,,,,ELANGOVAN S,RAJIVGANDHI P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Tirukkoyilur,59680,K.PONMUDY,,MURUGAN S,,,VAT.KALIVARADHAN,,,VIGNESH M,,,,NOTA,,L.VENKATESAN,SIVA.PANJAVARNAM,,SENTHILKUMAR M,,,,SANKAR S,,,,,,,,,,,,,,,,,,,,,,,RAJINI VR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Ulundurpettai,5256,MANIKANNAN A J,KUMARAGURU R,Pushbamary L,,,,CHINNAIYAN S,K.G.P.Rajamani,MANIKANNAN M,,,,NOTA,,,SATHIYAMOORTHY,,,,,DEEPA,MANI R,,,,,VENkATESAN M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHANAPAL P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KUMAR A,,,,,,,,,,
78,Rishivandiyam,41728,KARTHIKEYAN K,SANTHOSH S A,SURESH MANIVANNAN R,,,,SHANMUGASUNDARAM K,PRABHU S,MURUGAN K,,,,NOTA,,,VEERAN S,,,,,TAMILVANAN M,,,,,,,,,,,,,,NARAYANAN A,,,,,,,,,,VENKATRAMAN J,,,,RADHAKRISHNAN K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Sankarapuram,45963,UDHAYASURIYAN T,,RAJIYAMA B,,Dr.RAJA G,,,,ARUL P,,,,NOTA,,,Sakthivel S,,RAMESH G,,,,,,,,,,,,,,,,,VIMALAMARY S,MUJIBUR RAGIMAN M,,,,,,,,,,,,,,,,,,,,OVIYAR ANANDH C,,,,,,,,,,,,,,,,,,,ARUNKENNADI A P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Kallakurichi,25891,,Senthilkumar.M,Dravidamuthamilselvi.D,Manirathinem.K.I,,,,,Devimangayarkarasi.K,,,,NOTA,,Vijayakumar.N,Palanisamy.A,,Ayyasamy.M,,,Dinesh.M,,,,,,,,,,,,,,Kuppusamy.K,,,,,,,,,,,,,,,,,,,,,Oviyar Ananth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Gangavalli,7361,"REKHA PRIYADHARSHINI,J.","NALLATHAMBI,A.","VINOTHINI,R.",,,,,"PANDIAN,A.","SARAVANAN,R.",,,,NOTA,,,"SELLAMMAL,V.M.","NAVAN,P.","PERIYASAMY,K.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Attur,8257,"CHINNADURAI, K.","JAYASANKARAN, A.P.","KRISHNAVENI, S.",,,,"SIVAKUMAR, P.","MADHESWARAN, S.","ARUMUGAM, D.",,,,NOTA,,,"PERIYANNAN, M.",,,,,,,,,,,,"MATHESWARI, K.K.",,,"JANARTHANAM, A.",,,,,,,,,,,,,,,,,,,,,"SADHA SIVAM, R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Yercaud,25955,C. TAMILSELVAN,G. Chitra,Jothi,,,,,,D. MADESH,,,,NOTA,,C. KUMAR,P. Ramasamy,,T. Duraisamy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Omalur,55294,,R.MANI,A.RAJA,RANGARAJAN MOHAN KUMARAMANGALAM,,,V.SRINIVASAN,K.K.MADHESWARAN,R.MURUGAN,,,,NOTA,,,N.V.THOMAS,,,,M.KARUNAKARAN,,,,,,,,,,,S.DHIVYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Mettur,656,SRINIVASAPERUMAL.S,,MANIKANDAN.C,,SADHASIVAM.S,,ANUSUYA.P,,SELVAN,,,,NOTA,,RAMESH ARAVIND.M,,,,,,RASAPPAN.K,,,,,,,,,,THANGAVEL. K,,,BANUPRIYA.P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Edappadi,93802,SAMBATHKUMAR. T,EDAPPADI PALANISWAMI. K,SHRI RATHNA,,,,THASAPPARAJ. D,POOKADAI SEKAR. N,KATHIRAVAN. V,,,,NOTA,,,JAMUNA. A,,,,MANIKANDAN. R,GUNASEKARAN. K.N,,,,,,,,,,MANI. C,,,,,,,,,,,,,,,,,,,,,SOCIAL WORKER ESWARI. P,,,,,,,,,,,,,,SURIYAMOORTHY. S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Sankari,20045,"RAJESH, K.M.","SUNDARARAJAN, S.","SHOBANA, S.",,,,"SENGODAN, K.","CHELLAMUTHU, A.","BAKKIYAMANI, M.",,,,NOTA,,,,,,,,"SETTU, K.",,,,,,,,,,,,,"RAVIKUMAR, P.",,,,"SIVALINGAM, C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Salem (West),21499,RAJENDRAN. A,,NAGAMMAL. S,,ARUL. R,,THIYAGARAJAN. A,,THIYAGARAJAN. M,,,,NOTA,,ALAGAAPURAM R. MOHANRAJ,TAMIL SELVAN. S,,,,KARTHIKEYAN. J,KATHIRVEL. A,,SENTHILKUMAR. A,,,,,,,,VIJAYAKUMAR. R,,,,,,,MUTHUSAMY. R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Salem (North),7588,R. RAJENDRAN,G.VENKATACHALAM,IMAYAESWARAN N,,,,R S GURU CHAKRAVARTHY,C NATARAJAN,A RAMESHKUMAR,,,,NOTA,,,S VELAN,,,,,S. BABU,,,,,,,,,,D.MURALI,,,,,,,,,,,,,,,,,,,,,VAATHIAR C MURUGAN,,M.P.PANNEER SELVAM,,,,,,,,,,,,M AHAMEDSHAHJAHAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Salem (South),22609,A.S.SARAVANAN,E.BALASUBRAMANIAN,S.MARIAMMA,,,,M.PRABU MANIKANDAN,SE.VENKATAJALAM,R.SUNDARAM,,,,NOTA,,,S.MURALI,,,,,,R.ELAVARASAN,,,,,R.VELMURUGAN,,,,S.RAJI,,,,,,,,SATHIYAPRIYA,,,,,,,,,,,,,M.SUNDAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Veerapandi,19895,"THARUN, A.K.","RAJAMUTHU, M.","RAJESHKUMAR, S.",,,,,"SELVAM, S.K.","MOHAN, V.",,,,NOTA,,,"CHINNANANN, M.",,"AMUTHA, R.",,,"MANI, M.","PRABAKARAN, P.",,,,,,,,,SATHIYAVANI,,,,,,,,,"MANIKANDAN, S.",,,,,,,,,,,,,,,,,,,,"MOHAN, P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Rasipuram,1952,MATHIVENTHAN M,SAROJA V. Dr,SILAMBARASI K,,,,,ANBALAGAN S,MUNIYAPPAN M,,,,NOTA,,,VIJAYA K,,RAMKUMAR R,,,,,,,,,,,,,,,,CHINNUSAMY P,,,,ARULMOZHIDEVAN P,,,,,,,,,,,,,,JAYANTHI M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Senthamangalam,10493,PONNUSAMY K,CHANDRAN S,ROHINI T,,,,,CHANDRAN P,CHANDRASEKARAN C,,,,NOTA,,,,,SELVARAJ V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Namakkal,27861,RAMALINGAM P,BASKAR K.P.P.,BASKAR B,,,,ADHAM FAROOK S,,ARUL SELVAN,,,,NOTA,,SELVI K,RAMASAMY P,,,,,MADHESWARAN A.S,,,SIVAKUMAR D,,,,,,,,,,KANAKARAJ K,,,RAMESH T,TAMIZHVANAN K,,,,,THIYAGARAJAN R,,SARAVANAN S,,,,,,,,,SARAVANAN A,,,,,,,,,,SELVAKUMAR E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
