Constituency ID,Constituency_Name,Winning_Margin,All India Trinamool Congress,Bharatiya Janata Party,Communist Party of India  (Marxist),Indian National Congress,Independent,Rashtriya Secular Majlis Party,None of the Above,All India Forward Bloc,Bahujan Samaj Party,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Revolutionary Socialist Party,Communist Party of India,AJSU Party,Bahujan Mukti Party,Amra Bangalee,Kamatapur People’s Party (United),Communist Party of India  (Marxist-Leninist)  (Liberation),Purvanchal Mahapanchayat,All India Majlis-E-Ittehadul Muslimeen,Janata Dal  (United),Bharatiya Nyay-Adhikar Raksha Party,Lok Jan Shakti Party,Communist Party of India (Marxist-Leninist) Red Star,Ambedkarite Party of India,SOCIAL DEMOCRATIC PARTY OF INDIA,Indian Unity Centre,Party for Democratic Socialism,Welfare Party Of India,United Socialist Party,Humanity Universal Motion Party,Bahujan Maha Party,National People's Party,"Justice and Development Party,",Republican Party of India (Athawale),Bhartiya Tribal Party,Mulnibasi Party of India,Indian Union Muslim League,Progressive People's Party,West Bengal Socialist Party,Republican Party of India (A),Democratic Socialist Party of India,Jan Sangh Party,Socialist Party (India),National Republic Party Of India,Guru Chand Mukti Morcha,Paradise Party,Hindustani Awam Morcha (Secular),Samajwadi Jan Parishad,Bharateeya Manavadhikar party,Rashtravadi Janata Party,Akhil Bharat Hindu Mahasabha,Right to Recall Party,All India Minorities Front,Lok Samya Party,Sajag Samaj Party,New Democratic Party of India,Revolutionary Socialist Party of India(Marxist),Jamat-E-Seratul Mustakim,Bharatiya Momin Front,Vikas India Party
13,Falakata,3990,99003,102993,10772,,1678,,1970,,,613,,,,,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1377,,,,,,,,,,,,
14,Madarihat,29685,61033,90718,,,,,2622,,1696,967,7072,,,,,,,,,,,,,,,,,,,,,1272,,,1540,,,,,,,,,,,,,,,,,,,,,,,,,
15,Dhupguri,4355,100333,104688,13107,,2169,,1984,,2178,1613,,,,,,2155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Maynaguri,11911,103395,115306,,,1079,,3095,,1550,745,5760,,,,740,2868,1555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Jalpaiguri,941,95668,94727,,24228,1556,,3381,,1609,898,,,,,1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Rajganj,15773,104641,88868,12108,,1146,,3175,,1510,1605,,,,,842,1860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Dabgram-Fulbari,27593,101495,129088,17998,,1391,,3379,,1395,547,,,,,650,,,,,,,,,,,,,,,,,,,,,,,,,881,,,,,,,,,,,,,,,,,,,,
20,Mal,5465,99086,93621,10929,,1912,,4699,,,3008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Nagrakata,23475,71247,94722,,12442,3283,,5454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2247,,,,,,,,,,,,,,,,,,,,,,
22,Kalimpong,3870,,54336,,1715,58206,,2160,,,,,,,,,,,,,,,,,,,,,,,,,1805,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Darjeeling,21276,,68907,1913,,47631,,2540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Kurseong,15515,,73475,2545,,57960,,2417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Matigara-Naxalbari,70848,68937,139785,,23060,2046,,3912,,1577,1274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Siliguri,35586,53784,89370,28835,,957,,2074,,1255,379,,,,,594,,,,,447,,,,,,,,,,,,,,306,,,,,,649,,,,,,,,,,,,,,,,,,,,
27,Phansidewa,27711,77940,105651,,12815,,,2575,,2291,1832,,,,,,,2787,,,,,,,,,,,,,,,,,,1699,,,,,,,,,,,,,,,,,,,,,,,,,
28,Chopra,64905,124923,60018,12279,,2193,,1531,,,,,,,,3166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Islampur,37440,100131,62691,,3461,563,,1976,,,1152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Goalpokhar,73514,105649,32135,,19391,694,,2016,,865,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Chakulia,33837,86311,52474,,,1046,,1186,28704,2725,,,,,,,,,,,954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Karandighi,36626,116594,79968,,,1269,,2449,9146,1139,207,,,,231,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Hemtabad,27215,116425,89210,9453,,842,,2160,,1411,1518,,,,,1581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Kaliaganj,21820,94948,116768,,16770,4004,,3007,,,1073,,,,,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Raiganj,20748,59027,79775,,17198,1361,,2468,,,133,,,,133,208,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Itahar,43975,114645,70670,,,1024,,1240,,,,,4908,,,,,,,831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Kushmandi,12584,89968,77384,,,1118,,1598,,1436,,12571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Kumarganj,29367,89763,60396,,17478,,,1125,,,1215,,,,,,951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Balurghat,13436,58693,72129,,,,,1830,,1141,604,16153,,,379,810,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Tapan,1650,82731,84381,,,,,1703,,2146,820,12088,,,1315,,1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Gangarampur,4592,84132,88724,12273,,,,1149,,1169,,,,,,,1145,,,,,,,890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Harirampur,22672,96131,73459,12444,,1831,,1823,,,278,,,,571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Habibpur,19517,74558,94075,13805,,1701,,2162,,1667,,,,,5896,,747,,,,,,,,1887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Gazole,1798,98857,100655,13950,,1127,,1736,,1943,1381,,,,824,,741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Chanchal,67338,115966,48628,,31346,452,,1023,,1050,1214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Harischandrapur,77473,122527,45054,,29396,1473,,1012,1285,1305,629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Malatipur,91949,126157,34208,,19827,,,2034,,1023,,,,,592,,,,,1643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Ratua,75650,130674,55024,,16173,8628,,2051,,1682,,,,,,,,,,,,,,,,,,,2102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Manikchak,33878,110234,76356,,11555,2743,,1367,,1740,,,,,1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Maldaha,15456,77942,93398,,26563,2128,,2818,,1240,,,,,1469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Englishbazar,20099,87656,107755,10953,,1787,,3196,,1039,267,,,,201,,,,,,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Mothabari,56573,97397,40824,,16903,566,3585,2139,,,,,,,,,556,300,,,,,,,,,,,,,,,,,,,,195,,,,,,,,,,,,,,,,,,,,,,,
53,Sujapur,130163,152445,14789,,22282,2321,11173,1527,,1461,,,,,,,,,,,,,,,,,,546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,,
54,Baisnabnagar,2471,83061,80590,,37443,1346,,1705,,2282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Farakka,59945,102319,42374,,36205,1647,1559,1638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Samserganj,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Suti,70701,127351,56650,,18760,8006,,2724,,,851,,,,,,,,,,,,,,,,,,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Jangipur,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,RaghunathGanj,98313,126834,28521,,12799,16244,,2938,,,913,,,,,,,,,,,,,,,1361,,,868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Sagardighi,50206,95189,44983,,36344,530,,1705,,981,698,,,,1656,,,,,3450,,,,,,1280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Lalgola,60707,107860,29464,,47153,1691,,1394,,852,653,,,,,,,,,,,,417,,,954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Bhagabangola,106008,153795,16707,47787,,827,,3396,,784,449,,,,,,,,,,,,,,,,,,,265,,421,,,,,,617,,,,,,,,,,,,,,,,,,,,,,,
63,Raninagar,79702,134957,21138,,55255,884,2754,2774,,587,501,,,,,,,,,,,,,,,1393,,,,202,,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Murshidabad,2491,93476,95967,,28835,2278,1442,2904,,1099,1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,,,,,,,,,,,,,,,,,,,
65,Nabagram,35533,100455,64922,39129,,,,2629,,,1381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Khargram,32573,93255,60682,,27423,,,1685,,,,,,,,,,1511,,,1380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Burwan,2749,81890,79141,,12260,1504,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Kandi,38080,95399,57319,,27555,1769,,3131,,,264,,,,,,,,,,,,,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Bharatpur,43083,96226,53143,,30116,1011,,2444,,1450,,,,,,2581,,,,2076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Rejinagar,68268,118494,50226,,37282,,,1560,,,1338,,,,,,,,,,,,,,,,,,,,,,,,,,,1039,,,,,,,,,,506,,,,,,,,,,,,,
71,Beldanga,53832,112862,59030,,26949,1968,,1368,,,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1176,,,,,,,,,,,,,,,,,,,
72,Baharampur,26852,62488,89340,,40167,547,,2525,,1088,1038,,,,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Hariharpara,14066,102660,18378,,88594,1079,,1117,,,1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Naoda,74153,117684,43531,,31588,4393,,1308,,,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893,,,,,,,,,,,,,
75,Domkal,47229,127671,12348,80442,,729,,2419,,,293,,,,,,,,,,,,,,,,,,,,,,,679,,,,521,,,,,,,,,,,,,,,,,,,,,,,
76,Jalangi,79276,123840,43773,44564,,4189,,2551,,,264,,,,277,388,,,,1338,,,,,,,,,,,,,,254,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Karimpur,23575,110911,87336,17185,,1310,,1328,,1272,1469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Tehatta,6915,97848,90933,23239,,1439,,1736,,1876,,,,,,,,,638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Palashipara,51336,110274,58938,26228,,1688,,1654,,1690,1696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Kaliganj,46987,111696,64709,,25076,1687,,2051,,1567,879,,,,,,,,,,,982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Nakashipara,21271,104812,83541,5365,,11277,,1146,,1080,323,,,,,1003,,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Chapra,12118,73866,58168,11722,,61748,3865,2023,,1070,713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Krishnanagar Uttar,35089,74268,109357,,11407,1377,,1851,,1358,727,,,,,,,,1460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Nabadwip,18571,102170,83599,18540,,1183,,2344,,1617,,,,,,,,,,,,,1136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Krishnanagar Dakshin,9305,91738,82433,15606,,1076,,2165,,1217,,,,,,,,868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Santipur,15878,93844,109722,,9848,,,2385,,1294,608,,,,,,,,1099,,,,,,,,,,,,,,,,,,,,,,,,892,,,,,,,,,,,,,,,,,,
87,Ranaghat Uttar Paschim,23128,90509,113637,,10345,1160,,2258,,1312,1068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701,,,,,,,,,,,,,,,,,
88,Krishnaganj,21277,96391,117668,10913,,835,,2099,,1801,484,,,,,,,,1380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,,,,
89,Ranaghat Uttar Purba,31782,85004,116786,,,1228,5204,2359,,2117,,,,,488,,,,485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Ranaghat Dakshin,16515,102745,119260,15124,,,,1577,,1666,1315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Chakdaha,11680,87688,99368,17812,,1370,,1487,,995,,,,,,,,,,,,1683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Kalyani,2206,94820,97026,22165,,957,,2577,,1661,,,,,,,,,,,,,,,,,,673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Haringhata,15200,82466,97666,24800,,1156,,1427,,1153,404,,,,,,,,446,,,,,,,,,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Bagda,9792,98319,108111,,8250,851,,1020,,2240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Bangaon Uttar,10488,87273,97761,14051,,1480,,1833,,1082,228,,,,141,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Bangaon Dakshin,2004,95824,97828,10069,,462,,1542,,820,953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Gaighata,9578,91230,100808,,,1526,,1409,,1385,814,,14838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Swarupnagar,34800,99784,64984,43282,,923,,1256,,,821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Baduria,56444,109701,53257,,45231,844,,1953,,1278,619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Habra,3841,90533,86692,21994,,1115,,1290,,1125,1062,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Ashoknagar,23532,93587,70055,,,1556,45795,1611,,1053,739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1278,,,,,,,,,,,,,,,
102,Amdanga,25480,88935,63455,,,1738,50905,2324,,1038,571,,,,,,,,,,,,518,,,,,,,968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Bijpur,13347,66625,53278,14490,,660,,1227,,878,1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Naihati,18855,77753,58898,15825,,1378,,1701,,913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Bhatpara,13687,43557,57244,,2169,744,,1160,,682,592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Jagatdal,18364,87030,68666,,,1522,,2568,16748,908,807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,,,
107,Noapara,26710,94203,67493,,23502,857,,2886,,1305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661,,,,,,,,,,,,,,,
108,Barrackpur,9222,68887,59665,16145,,652,,1930,,970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Khardaha,28140,89807,61667,26916,,637,,2415,,1097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Dum Dum Uttar,28499,95465,66966,45728,,,,2111,,1005,,,,,,,,,,,,1229,,,,,,,,,,,,,,,,,,,,645,,,,,,,,,,,,,,,,,,,
111,Panihati,25177,86495,61318,,21169,827,,2334,,1326,887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Kamarhati,35408,73845,38437,28310,,828,,1553,,,,,,,,,,,,,,,,,,,,488,,,,,,,,,,,,,,,145,,,,,,,,,,,,,,,,,,
113,Baranagar,35147,85615,50468,,20135,630,,2378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538,,,,,,,,,,,,,,,,
114,Dum Dum,26731,87999,61268,30653,,774,,2039,,980,,,,,,,,,,,,739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Rajarhat New Town,56432,127374,70942,31543,,1313,,2032,,1137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Bidhannagar,7997,75912,67915,,12821,647,,2213,,611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Rajarhat  Gopalpur,25296,87650,62354,24511,,324,,2258,,,455,,,,,,,,,,,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Madhyamgram,48126,112741,64615,,,869,46748,3152,,1667,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Barasat,23783,104431,80648,,,767,,2688,34171,940,418,,,,,576,,,,,,,,,,,,,,,,,,,,,,,,,,,496,,,,,,,,,,,,,,,,,,
120,Deganga,32537,100105,38446,,,,67568,2100,2942,1354,787,,,,,,,,,,,,,,,,,,1078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Haroa,80978,130398,38506,,,2484,49420,2930,,,,,,,,,,,,,,,,,,,,,,2401,,,,1256,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Minakhan,55830,109818,53988,44606,,,,3940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Sandeshkhali,39685,112450,72765,,,1961,14387,2456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Basirhat Dakshin,24468,115873,91405,,23089,,,1689,,1470,1347,,,,,,,,,,,,,,,,,,,,,,,864,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Basirhat Uttar,89351,137216,47505,,,2014,47865,1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Hingalganj,24916,104706,79790,,,1158,,1736,,850,,,6008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433,,,,,,,,,,,,,,,,,,
127,Gosaba,23709,105723,82014,,,,,1017,,1271,912,4871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Basanti,50642,111453,60811,,,1635,,1907,,,688,36688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Kultali,47177,117238,70061,20010,,1002,,1048,,1432,15306,,,,458,,,,,,,,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Patharpratima,22134,120181,98047,,10182,,,1214,,,1664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498,,,,,,
131,Kakdwip,25302,114493,89191,,12234,,,1023,,1630,1026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Sagar,29846,129000,99154,9096,,,,1025,,,792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Kulpi,33818,96577,62759,,,957,29961,1685,,,1191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Raidighi,35568,115707,80139,36931,,532,,1462,,795,2862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Mandirbazar,23492,95834,72342,,,808,25397,1822,,860,1117,,,,441,,,,,,,,,,,,,,,,,,,,,,,,,,238,,,,,,,,,,,,,,,,,,,,
136,Jaynagar,38683,104952,66269,17368,,1435,,1164,,811,9423,,,,574,,,,,,,,248,,,,,,,,,,,,,,,,,,187,,,,,,,,,,,,,,,,,,,,
137,Baruipur Purba,49641,123243,73602,21467,,1627,,1855,,1393,1525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Canning Paschim,35243,111059,75816,,11908,13390,,3032,,,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Canning Purba,53007,122301,34503,,,1715,69294,2267,,,2686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Baruipur Paschim,61910,121006,59096,25639,,1769,,1536,,912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Magrahat Purba,54079,110945,56866,33822,,939,,1480,,,1209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Magrahat Paschim,46941,97006,50065,,,920,40685,2286,,,615,,,,,,,,,,,,,,,,,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Diamond Harbour,16996,98478,81482,38719,,1585,,1449,,1088,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,,,,,,,,,,,,,,,,,,,,
144,Falta,40774,117179,76405,,7452,1677,,1185,,776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
