Constituency ID,Constituency_Name,Winning_Margin,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Naam Tamilar Katchi,Indian National Congress,Pattali Makkal Katchi,Bharatiya Janata Party,Makkal Needhi Maiam,Amma Makkal Munnettra Kazagam,Independent,Communist Party of India,Viduthalai Chiruthaigal Katchi,Communist Party of India  (Marxist),None of the Above,Indian Union Muslim League,Desiya Murpokku Dravida Kazhagam,Bahujan Samaj Party,Puthiya Tamilagam,Indiya Jananayaka Katchi,SOCIAL DEMOCRATIC PARTY OF INDIA,Tamil Nadu Ilangyar Katchi,My India Party,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,Anaithu Makkal Puratchi Katchi,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,All India Samathuva Makhal Katchi,New Generation People’s Party,Communist Party of India  (Marxist-Leninist)  (Liberation),Anna Dravidar Kazhagam,Desiya Makkal Sakthi Katchi,Naam Indiar Party,Dhesiya Makkal Kazhagam,Nationalist Congress Party,Anaithu Makkal Arasiyal Katchi,Ganasangam Party of India,Anna MGR Dravida Makkal Kalgam,All India Majlis-E-Ittehadul Muslimeen,Ahimsa Socialist Party,Tamilaga Makkal Thannurimai Katchi,Republican Party of India (Athawale),All India Jananayaka Makkal Kazhagam,Tipu Sultan Party,United States of India Party,Samaniya Makkal Nala Katchi,Akhil Bharat Hindu Mahasabha,Naadaalum Makkal Katchi,All India Uzhavargal Uzhaippalargal Katchi,Bahujan Dravida Party,Namadhu Makkal Katchi,Makkal Munnetra Peravai,Desiya Sirupanmayinar Makkal Iyakkam,Shiv Sena,Ambedkarite Party of India,Janata Dal  (Secular),National People's Party,National Democratic Party of South India,Lok Jan Shakti Party,All India Trinamool Congress,India Dravida Makkal Munnetra Katchi,Kongu  Desa  Marumalarchi  Makkal  Katchi,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Tamizhaga Murpokku Makkal Katchi,All India MGR Makkal Munnetra Kazhagam,Aanaithinthiya Jananayaka Pathukappu Kazhagam,Manitha Urimaigal Kalaagam,Makkal Nala Kazhagam,MGR Makkal Katchi,Anaithu Ulaga Tamilargal Munnetra Kalagam,All Pensioner’s Party,Rashtriya Janata Dal,Namathu Kongu Munnetra Kalagam,South India Forward Bloc,Akila India Vallalar Peravai,Nam India Naam Indiyar Katchi,Rashtriya Samaj Paksha,All  India  Pattali  Munnetra Katchi,People's Party of India(secular),"Makkal Sananayaga Kudiyarasu Katchi,",Samata Party,All India Youth Development Party,Ezhuchi Tamilargal Munnetra Kazhagam,Valamaana  Tamizhagam   Katchi,Makkalatchi Katchi,Ulaga Makkal Katchi,Anaithu Makkal Munnetra Kazhagam,Desa Makkal Munnetrak Kazhgam,Dravida Murpokku Makkal Katchi,Ambedkar Political Party,Tamil Telugu National Party,Akhila India Jananayaka Makkal Katchi (Dr. Isaac),Samajwadi Party,Tamilnadu Mahatma Gandhi Makkal Katchi,Anna MGR Dravida Munnetra Kazhagam,Ilantamilar Munnani Kazhagam,Tamilnadu Makkal Nalvazhvu Periyakkam,Thamizhaga Munnetra Congress,Jebamani Janata,Anaithindia Samudaya Munnetra Kazhagam,MAKKAL SAKTHI KATCHI,Indhia Kudiarasu Katchi,Vidial Valarchi Perani,Makkal Nalvaazhvuk Katchi,"Makkal Thilagam Munnetra Kazhagam,",Universal Brotherhood Movement,Rashtriya Ulama Council,Hindustan Janta Party,Kamarajar Deseeya Congress,Bhartiya Manavadhikaar Federal Party,Republican Party of India  (Sivaraj),Mahathma Makkal Munnetra Kazhakam
35,Madurantakam,3570,83076,86646,9293,,,,1488,,639,,,,1371,,2137,587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Uthiramerur,1622,93427,91805,11405,,,,2100,7211,753,,,,952,,,602,,,,,,,,,,,,,136,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Kancheepuram,11595,102712,,13946,,91117,,12028,2301,2050,,,,2539,,,1193,,,,,,,,,,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Arakkonam,27169,,85399,14631,,,,3543,4777,432,,58230,,1656,,,1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Sholinghur,26698,,,9656,110228,83530,,1664,12979,1015,,,,1239,,,614,,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Katpadi,746,85140,84394,10449,,,,,1066,551,,,,1889,,,374,,1003,,,,,,,,,,,,,,,,,78,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Ranipet,16498,103291,86793,10234,,,,2762,637,425,,,,1632,,,669,,,,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Arcot,19958,103885,,12088,,83927,,2860,2190,457,,,,2253,,,782,,,,,,,,,,,,,,,,,,,,,,,,,397,,,,,,,,,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Vellore,9181,84299,75118,8530,,,,7243,865,367,,,,1441,,,,,,,928,,202,,,,,,,,,,,,,,,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,
44,Anaikattu,6360,95159,88799,8125,,,,,1140,1357,,,,1791,,,,,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Kilvaithinankuppam,10582,73997,84579,10027,,,,,,331,,,,1798,,1432,519,,519,,,,,,,,,,,,,,,,,,,,,547,,,,,,,,,,,,,,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Gudiyattam,6901,100412,93511,11834,,,,,1810,449,,,,1699,,,505,,482,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Vaniyambadi,4904,,88018,11226,,,,1868,,362,,,,1492,83114,,721,,,,,,,,,,,,,,,,,,,,1897,,,,,,,,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Ambur,20232,90476,70244,10150,,,,1638,,253,,,,1417,,,681,,,1793,,,,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,
49,Jolarpet,1091,89490,88399,13328,,,,,619,1067,,,,1337,,,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Tirupattur,28240,96522,,12127,,68282,,,2702,1096,,,,1632,,,,,,,,,,128,,,,,,,,,,,,,,,,,,,,264,,,724,,,,,,,,,,,,,,,,,,,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Uthangarai,28387,,99675,10424,71288,,,1254,,322,,,,1359,,2291,722,,,,,,,,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Bargur,12614,97256,84642,10113,,,,,1064,623,,,,1507,,,443,,345,,,,121,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Krishnagiri,794,95256,96050,11137,,,,3455,,418,,,,1837,,,488,,,,,,137,,129,,,,,89,,,1088,,,,858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Veppanahalli,3054,91050,94104,8310,,,,672,,3022,,,,1662,,3601,,226,,,419,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Hosur,12367,118231,105864,11422,,,,6563,806,629,,,,1976,,,,,,,,,462,,65,,145,,,,,,,,,,,,,,,,,,,,,,,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Thalli,56226,,,3776,,,64415,,346,584,120641,,,1966,,,,,788,,,,138,,,,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,,,,,,,,,,,,,,,,,,,
57,Palacode,28100,81970,110070,7704,,,,1176,,465,,,,1351,,2409,585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Pennagaram,21186,84937,,8945,,106123,,1471,,1968,,,,1759,,2921,245,,,,,,,,,,,,,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Dharmapuri,26860,78770,,8700,,105630,,5083,11226,718,,,,1726,,,464,,,,,208,,,1897,,,,,213,,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Pappireddipatti,36943,77564,114507,7573,,,,1729,15863,432,,,,1338,,,625,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Harur,30362,,99061,10950,,,,,14327,521,,,68699,2249,,,920,,282,,,382,,,,,,,,,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Chengam,11570,108081,96511,12080,,,,,,417,,,,1085,,2769,801,,828,,,,,,,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Tiruvannamalai,94673,137876,,13995,,,43203,6246,2108,780,,,,2194,,,466,,,,,,131,,,,101,,,,,,,,,,,,,,,,,,,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Kilpennathur,26787,104675,,11541,,77888,,1437,2191,844,,,,961,,,598,,,,,,504,,,,,,,,,,,239,,,,,,147,,,,,,,,,,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Kalasapakkam,9222,94134,84912,8822,,,,,,765,,,,1593,,2756,632,,244,,,,128,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Polur,9725,88007,97732,10197,,,,1580,656,1188,,,,1144,,,604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Arani,3128,99833,102961,10491,,,,2213,,397,,,,1690,,1861,332,,,,,,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Cheyyar,12271,102460,90189,12192,,,,2429,1760,733,,,,1895,,,731,,,,,,504,,,,190,,,,,,,,262,,,,,,,,,,,,,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,,,,,,,,,,,,
69,Vandavasi,35953,102064,,9284,,66111,,1692,1728,1264,,,,1769,,,607,,,,,,,,,,,,,,,,,,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Gingee,35803,109625,,9920,,73822,,2151,4811,1914,,,,2279,,,637,,,,,,,,,,,,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Mailam,2230,78814,,8340,,81044,,,,807,,,,884,,3921,648,,,,,,,,,,,,,,,,,,,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Tindivanam,9753,77399,87152,9203,,,,2079,,379,,,,1523,,2701,603,,,,,,,,,,,,424,,,,,,,,,,,,,,,,,,,,,,247,,,,,,,,,,,,,,,,,,,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,112,,,,,,,,,,,
73,Vanur,21727,,92219,8587,,,,2500,,813,,70492,,1363,,5460,774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Villupuram,14868,102271,87403,6375,,,,3242,1695,491,,,,970,,,415,,,,,,118,,,,,,32,,,,,,,,,,,,,,,,,,,,,322,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Vikravandi,9573,93730,84157,8216,,,,,3053,907,,,,1122,,,520,,207,,,,,,,,,,,,,,,,,,,,,,,,,,655,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Tirukkoyilur,59680,110980,,11620,,,51300,,,1482,,,,2039,,13997,696,,1066,,,,566,,,,,,,,,,,,,,,,,,,,,,,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Ulundurpettai,5256,115451,110195,9000,,,,677,2848,2107,,,,2280,,,825,,,,,263,299,,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,
78,Rishivandiyam,41728,113912,72184,12066,,,,640,10387,1508,,,,2420,,,426,,,,,151,,,,,,,,,,,,,,142,,,,,,,,,,149,,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Sankarapuram,45963,121186,,9873,,75223,,,,2120,,,,953,,,810,,460,,,,,,,,,,,,,,,,,609,379,,,,,,,,,,,,,,,,,,,,257,,,,,,,,,,,,,,,,,,,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Kallakurichi,25891,,110643,16474,84752,,,,,1197,,,,1257,,6571,1097,,871,,,198,,,,,,,,,,,,,,171,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Gangavalli,7361,82207,89568,9323,,,,,1519,396,,,,1251,,,485,609,493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Attur,8257,87051,95308,10233,,,,1959,1699,367,,,,1834,,,494,,,,,,,,,,,,120,,,215,,,,,,,,,,,,,,,,,,,,,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Yercaud,25955,95606,121561,13308,,,,,,660,,,,1979,,2986,579,,876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Omalur,55294,,142488,9416,87194,,,2930,1202,676,,,,1600,,,812,,,,1228,,,,,,,,,,,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Mettur,656,96399,,9109,,97055,,4605,,2823,,,,2247,,1874,,,,,,226,,,,,,,,,,1783,,,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Edappadi,93802,69352,163154,6626,,,,1547,774,555,,,,1109,,,815,,,,153,118,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,135,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Sankari,20045,95427,115472,10862,,,,3175,1471,847,,,,1469,,,,,,,,96,,,,,,,,,,,,,200,,,,814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Salem (West),21499,83984,,10668,,105483,,7939,,315,,,,1683,,2307,283,,,,580,330,,99,,,,,,,,639,,,,,,,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Salem (North),7588,93432,85844,8155,,,,10718,805,213,,,,1539,,,300,,,,,39,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,55,,345,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Salem (South),22609,74897,97506,10176,,,,10368,2970,311,,,,1860,,,400,,,,,,75,,,,,133,,,,61,,,,,,,,79,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Veerapandi,19895,91787,111682,9806,,,,,4986,386,,,,1409,,,361,,1302,,,133,69,,,,,,,,,118,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Rasipuram,1952,90727,88775,11295,,,,,1051,450,,,,2110,,,351,,1133,,,,,,,,,,,,,,,,147,,,,217,,,,,,,,,,,,,,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Senthamangalam,10493,90681,80188,11654,,,,,831,11371,,,,2058,,,,,431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Namakkal,27861,106494,78633,10122,,,,5589,,291,,,,1285,,972,261,,,,,114,,,78,,,,,,,,,,175,,,313,433,,,,,193,,58,,,,,,,,,132,,,,,,,,,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Paramathi-Velur,7662,78372,86034,11684,,,,1882,1329,368,,,,964,,,495,,,,,,,,,,,,,,,,,,132,,,,,,,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Tiruchengodu,2862,81688,78826,13967,,,,3724,449,666,,,,1518,,,,,,,,515,,,,,,,,,,,,,,,,358,204,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Kumarapalayam,31646,69154,100800,13240,,,,6125,,7342,,,,1342,,1022,,,,,,,,,,,,113,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Erode (East),8904,,58396,11629,67300,,,10005,1204,299,,,,1546,,,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373,,,,,,,,,,,,,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,
99,Erode (West),22089,100757,78668,13353,,,,8107,730,434,,,,1968,,,568,,,,,,,,,,,,,,,,,,108,,,,,,,,109,,,,,,,,,,113,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Modakkurichi,281,77844,,12944,,,78125,4574,1547,882,,,,2342,,,1143,,,,,295,,,,,,,,,,,,,327,,,,,,,,,,,,,,,,,,,,,,,,119,,,,,,,,,,,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Dharapuram,1393,89986,,6753,,,88593,2130,1172,892,,,,1903,,,640,,,,,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Kangayam,7331,94197,86866,11307,,,,,474,2327,,,,1027,,,421,,,,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Perundurai,14507,70618,85125,10294,,,,3533,,9895,,,,1189,,858,1620,,,,,,,,107,,,,,618,,,,,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Bhavani,22523,78392,100915,10471,,,,4221,956,1224,,,,2079,,,870,,,,,,,,,,,,,,,,,,,,,,322,,,,,,,,,,,,,,,,,,,,,943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Anthiyur,1275,79096,77821,8230,,,,2474,1212,567,,,,1027,,,957,,,,,,,,,,,,,,,,,,229,,,2045,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Gobichettipalayam,28563,80045,108608,11719,,,,4291,2682,789,,,,1307,,,1034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Bhavanisagar,16008,,99181,8517,,,,4297,,,83173,,,2005,,2197,1197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Udhagamandalam,5348,,,6381,65530,,60182,4935,1273,514,,,,1376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Gudalur,1945,62551,64496,7317,,,,960,,421,,,,1017,,1173,,,,,,,,,,,,,,,,,,,,,,,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Coonoor,4105,61820,57715,7252,,,,3621,2527,513,,,,1188,,,,,,,,,,439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Mettuppalayam,2456,102775,105231,10954,,,,,1864,660,,,,2733,,,,,,,,,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Avanashi,50902,66382,117284,13256,,,,8379,,520,,,,2372,,2577,833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Tiruppur (North),40102,,113384,23110,,,,19602,,366,73282,,,2162,,3427,477,,,,,,,,428,,,,592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Tiruppur (South),4709,75535,70826,12898,,,,9934,1757,265,,,,1142,,,312,,,,554,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Palladam,32691,94212,126903,20524,,,,10227,2618,722,,,,1802,,,610,,,,530,,,,162,,,,130,,,,,,,,,,,,,,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Sulur,31932,87036,118968,14426,,,,12658,4111,380,,,,2610,,,,,,,,128,,,,,,,,,,,,,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Kavundampalayam,9776,125893,135669,17897,,,,23527,2002,420,,,,2892,,,,,,,726,,,,,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Coimbatore (North),4001,77453,81454,11433,,,,26503,1659,313,,,,1701,,,,,,,531,,,,,,135,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,
119,Thondamuthur,41630,82595,124225,8042,,,,11606,1235,428,,,,1635,,,,,,,,,,,,,,,,,,,,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Coimbatore (South),1728,,,4300,42383,,53209,51481,701,190,,,,901,,,274,,,,,,,,,,127,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,
121,Singanallur,10854,70390,81244,8366,,,,36855,1733,257,,,,1432,,,,,,,,113,,,,,,,211,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Kinathukadavu,1095,100442,101537,11280,,,,13939,1248,505,,,,2280,,,,,,,,,353,,,,,,,,,,,,187,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Pollachi,1725,78842,80567,6402,,,,7589,1141,368,,,,1546,,,491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
